ISIN CODE;DATE;ABNORMAL_RETURN;ABS_AR;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category;# Estimates;Mean;Standard Deviation;Variationskoeffizient
AT0000A3EPA4;43872;-0.042213412;0.042213412;0.010760428;-0.031452984;0.004920749;0;Positive;12;11.5461;1.7871;0.154779536
AT0000A3EPA4;44236;-0.073914797;0.073914797;0.000742349;-0.073172448;0.001338475;0;Negativ;7;0.7867;2.7354;3.477056057
AT0000A3EPA4;44600;0.095665979;0.095665979;-0.009428677;0.086237302;-0.00498697;0;Positive;10;3.9533;2.5617;0.647990287
AT0000A3EPA4;44964;-0.177175986;0.177175986;-0.01286533;-0.190041316;-0.004989719;0;Negativ;10;2.6972;1.1558;0.428518464
AT0000A3EPA4;45331;0.132204226;0.132204226;-0.013197183;0.119007043;-0.005194151;0;Positive;11;-1.143;5.2077;-4.556167979
CH0000816824;43893;-0.027369184;0.027369184;0.017059815;-0.01030937;0.015836892;0;Negativ;10;0.526025102;0.077600143;0.147521749
CH0000816824;44257;0.009671287;0.009671287;0.011585552;0.021256839;0.008703498;0;Positive;9;0.197820769;0.097202373;0.491365864
CH0000816824;44621;-0.018674013;0.018674013;-0.013546866;-0.032220879;-0.010105521;0;Positive;8;0.534889737;0.085677283;0.160177467
CH0000816824;44978;-0.039601357;0.039601357;-0.000473692;-0.040075049;0.000312237;0;Neutral;8;0.631198197;0.093052063;0.147421307
CH0000816824;45342;0.06856202;0.06856202;0.001903631;0.070465651;0.003189197;0;Positive;7;0.384925227;0.09127488;0.237123664
CH0002178181;43934;-0.000104348;0.000104348;0.000104348;0;0;0;Negativ;7;1.505817357;0.13574704;0.09014841
CH0002178181;44266;-0.005974908;0.005974908;-0.000787586;-0.006762494;-0.000504509;0;Neutral;8;1.422545125;0.093094631;0.065442304
CH0002178181;44635;-0.025501142;0.025501142;-0.000861416;-0.026362558;-0.000598086;0;Negativ;10;2.002577458;0.359991446;0.179764056
CH0002178181;45000;-0.049742004;0.049742004;-0.018565839;-0.068307843;-0.018498931;0;Negativ;11;1.370762035;0.307612414;0.224409785
CH0002178181;45364;0.000892134;0.000892134;0.002625281;0.003517415;0.003172475;0;Negativ;11;1.469347844;0.097926016;0.066645904
CH0002432174;43894;-0.015084332;0.015084332;0.016389815;0.001305483;0.014719056;0;Neutral;10;22.8104193;0.727070343;0.031874484
CH0002432174;44224;-0.023987372;0.023987372;-0.001649082;-0.025636454;-0.003177834;0;Neutral;10;15.50832251;0.990104177;0.063843409
CH0002432174;44588;-0.091884235;0.091884235;0.004406549;-0.087477686;0.004470178;0;Neutral;9;27.36377686;0.626334886;0.022889197
CH0002432174;44952;0.004166935;0.004166935;-0.007099488;-0.002932553;-0.006273897;0;Positive;9;32.21845753;1.516139921;0.047058116
CH0002432174;45321;-0.0000159;0.0000159;0.000561918;0.000546001;0.001190961;0;Positive;8;34.21331967;2.59834904;0.07594554
CH0003541510;43893;0.032270304;0.032270304;0.014377385;0.046647689;0.015836892;0;Positive;8;91.43970015;1.122115939;0.012271649
CH0003541510;44259;0.019090218;0.019090218;-0.001741579;0.017348638;-0.002112339;0;Positive;8;64.52533793;4.559295703;0.070658998
CH0003541510;44623;0.075890206;0.075890206;-0.018731792;0.057158414;-0.017393801;0;Neutral;7;95.05378951;4.558678477;0.047958935
CH0003541510;44943;-0.049295207;0.049295207;-0.004119729;-0.053414936;-0.002532976;0;Negativ;7;81.33587852;7.717404411;0.094883151
CH0003541510;45356;0.02374627;0.02374627;-0.003165562;0.020580708;-0.002190581;0;Positive;6;76.88536349;1.387331347;0.018044154
CH0003671440;43936;-0.026108219;0.026108219;-0.016256445;-0.042364664;-0.020258856;0;Negativ;6;13.43955293;1.644905929;0.122392905
CH0003671440;44264;-0.016047472;0.016047472;0.00275824;-0.013289232;0.004378874;0;Negativ;7;-19.95386781;2.568030498;-0.128698382
CH0003671440;44629;-0.052052175;0.052052175;0.058972618;0.006920443;0.040728632;0;Neutral;6;7.374429233;1.509829323;0.204738465
CH0003671440;45315;-0.019021026;0.019021026;0.003157362;-0.015863664;0.003845419;0;Positive;5;13.62770029;2.683196261;0.196892814
CH0006372897;43880;-0.010436808;0.010436808;0.014485396;0.004048589;0.010179932;0;Neutral;8;68.93571202;1.437379821;0.020851019
CH0006372897;44274;0.04100706;0.04100706;0.001022473;0.042029532;-0.000312568;0;Positive;8;74.97441209;7.243375235;0.096611298
CH0006372897;44614;-0.00840276;0.00840276;0.00840276;0;0.005440996;0;Neutral;10;100.8159087;4.692488707;0.046545121
CH0006372897;44956;0.056589077;0.056589077;0.004484478;0.061073556;0.003354874;0;Positive;9;98.8606022;5.907795053;0.059758841
CH0006372897;45320;-0.010591823;0.010591823;0.002510971;-0.008080852;0.002700583;0;Neutral;9;81.96281999;4.832460549;0.058959179
CH0008038389;43888;0.003291837;0.003291837;-0.009888975;-0.006597138;-0.028920081;0;Positive;8;6.39546704;1.872183252;0.292735971
CH0008038389;44252;0.004230853;0.004230853;-0.005380792;-0.001149939;-0.005663185;0;Positive;8;5.189355225;1.007067236;0.194064039
CH0008038389;44609;0.002253955;0.002253955;-0.006174769;-0.003920814;-0.008966608;0;Negativ;8;5.024407034;1.46195178;0.290970013
CH0008038389;44966;0.00376612;0.00376612;-0.002538372;0.001227747;-0.003873794;0;Negativ;8;3.904217264;0.44017755;0.112744123
CH0008038389;45330;-0.002270706;0.002270706;-0.002340254;-0.004610959;-0.004276102;0;Negativ;8;5.062579238;1.066618854;0.210686846
CH0008702190;44987;0.01615502;0.01615502;0.003647607;0.019802627;0.008974338;0;Neutral;5;1.065033223;0.334461722;0.314038769
CH0008702190;45357;0.017107959;0.017107959;0.001940236;0.019048195;0.007304087;0;Negativ;5;2.47635123;0.271387662;0.109591749
CH0008742519;43867;0.025048406;0.025048406;0.000850193;0.025898599;0.001064729;0;Positive;20;32.11296518;2.155393975;0.06711912
CH0008742519;44231;-0.004453779;0.004453779;0.004659731;0.000205952;0.006999265;0;Positive;23;29.58175538;1.6225049;0.054848162
CH0008742519;44595;0.023944583;0.023944583;-0.00473857;0.019206013;-0.012165944;0;Positive;18;35.048894;2.856328011;0.081495525
CH0008742519;44966;0.034632262;0.034632262;-0.00119395;0.033438312;-0.003873794;0;Neutral;16;31.77381042;1.403166373;0.044161099
CH0008742519;45331;0.000538566;0.000538566;-0.001742177;-0.001203611;-0.005194151;0;Positive;15;35.28472734;1.138930013;0.032278272
CH0010570759;43893;0.050207001;0.050207001;0.007085112;0.057292113;0.015836892;0;Neutral;9;2312.244806;46.69175674;0.020193258
CH0010570759;44257;0.025922682;0.025922682;0.006629921;0.032552603;0.008703498;0;Negativ;10;1490.476111;113.2503844;0.07598269
CH0010570759;44628;0.005177272;0.005177272;-0.009271444;-0.004094172;-0.013097477;0;Positive;8;2156.771825;103.5089274;0.047992526
CH0010570759;44992;0.006926623;0.006926623;-0.006926623;0;-0.007529537;0;Positive;10;2549.33527;53.70042666;0.021064482
CH0010570759;45356;-0.002617269;0.002617269;-0.001100208;-0.003717476;-0.002190581;0;Neutral;12;3000.037345;342.6202408;0.114205325
CH0010570767;43893;0.053320454;0.053320454;0.007732876;0.06105333;0.015836892;0;Neutral;8;228.3835407;4.259260264;0.018649594
CH0010570767;44257;0.028745346;0.028745346;0.005370408;0.034115753;0.008703498;0;Neutral;8;145.1558767;7.511836397;0.051750136
CH0010570767;44628;0.012598091;0.012598091;-0.010491719;0.002106373;-0.013097477;0;Neutral;8;217.3128566;6.526957353;0.030034842
CH0010570767;44992;0.009585589;0.009585589;-0.007611255;0.001974334;-0.007529537;0;Neutral;7;251.564838;5.831312301;0.023180156
CH0010645932;43854;0.016686626;0.016686626;0.0034902;0.020176825;0.003487749;0;Positive;21;92.40179506;7.410175102;0.080195142
CH0010645932;44225;-0.018493504;0.018493504;-0.017556276;-0.03604978;-0.022532175;0;Negativ;22;98.40775025;7.928612588;0.080568985
CH0010645932;44589;-0.063725438;0.063725438;-0.003869565;-0.067595003;-0.005102198;0;Negativ;23;108.3627248;8.841584863;0.081592493
CH0010645932;44951;0.003581745;0.003581745;-0.002558378;0.001023367;-0.001732352;0;Neutral;21;100.4904925;7.685031998;0.076475215
CH0010645932;45316;0.078172837;0.078172837;0.001753911;0.079926748;0.001022953;0;Neutral;19;106.6683876;7.287017334;0.068314685
CH0010675863;44637;0.03554277;0.03554277;0.023191904;0.058734674;0.011759362;0;Positive;5;13.62855164;0.088071692;0.006462293
CH0010675863;45001;-0.038061317;0.038061317;0.038696036;0.000634719;0.018890218;0;Neutral;6;11.47578619;0.170865042;0.01488918
CH0010675863;45365;-0.022729894;0.022729894;-0.005771616;-0.02850151;-0.005680966;0;Neutral;6;15.56277669;0.50793401;0.03263775
CH0010702154;43858;0.020341812;0.020341812;0.006452541;0.026794353;0.00883828;0;Negativ;8;6.981565209;0.844013289;0.1208917
CH0010702154;44222;0.078394963;0.078394963;0.004089943;0.082484907;0.005695497;0;Positive;7;-1.164672573;1.025158328;-0.880211616
CH0010702154;44586;0.111983239;0.111983239;0.005518937;0.117502176;0.005367261;0;Positive;9;8.411644742;0.662687339;0.078782136
CH0010702154;44950;0.037276025;0.037276025;0.000529164;0.037805189;0;0;Neutral;8;12.64859975;1.141835229;0.090273647
CH0010702154;45314;0.001300931;0.001300931;-0.010746102;-0.009445171;-0.010158209;0;Negativ;6;11.7682553;1.248423686;0.106084008
