Name;ISIN CODE;INDUSTRY GROUP;YR_2015;YR_2016;YR_2017;YR_2018;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
BOSSARD HOLDING AG ;CH0238627142;8591;11.03.2016;09.03.2017;07.03.2018;19.02.2019;19.02.2020;03.03.2021;02.03.2022;12.01.2023;11.01.2024
VAT GROUP ;CH0311864901;4992;31.03.2017;31.03.2017;12.03.2018;08.03.2019;03.03.2020;14.01.2021;12.01.2022;12.01.2023;11.01.2024
DOCMORRIS AG ;CH0042615283;7040;12.04.2016;11.04.2017;24.01.2018;24.01.2019;19.03.2020;21.01.2021;20.01.2022;19.01.2023;16.01.2024
GEBERIT AG ;CH0030170408;2891;15.03.2016;09.03.2017;20.01.2018;18.01.2019;21.01.2020;10.03.2021;14.01.2022;19.01.2023;17.01.2024
GALENICA AG ;CH0360674466;3410;24.03.2017;24.03.2017;18.01.2018;21.02.2019;21.01.2020;09.03.2021;08.03.2022;06.03.2023;18.01.2024
BB BIOTECH AG ;CH0038389992;4350;19.02.2016;13.01.2017;26.01.2018;18.01.2019;17.01.2020;22.01.2021;18.02.2022;17.02.2023;19.01.2024
ZEHNDER GROUP AG ;CH0276534614;5570;09.03.2016;07.03.2017;26.01.2018;25.01.2019;26.02.2020;24.02.2021;14.01.2022;23.01.2023;19.01.2024
THE SWATCH GROUP ;CH0012255144;8592;23.02.2016;21.02.2017;09.02.2018;01.02.2019;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
THE SWATCH GROUP ;CH0012255151;8592;23.02.2016;21.02.2017;09.02.2018;01.02.2019;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
BELIMO HOLDINGS AG ;CH1101098163;3750;11.03.2016;08.02.2017;09.02.2018;11.03.2019;09.03.2020;08.03.2021;20.01.2022;19.01.2023;22.01.2024
KOMAX HOLDING AG ;CH0010702154;4970;20.01.2016;21.03.2017;21.03.2018;22.01.2019;28.01.2020;26.01.2021;25.01.2022;24.01.2023;23.01.2024
AUTONEUM HOLD ;CH0127480363;1910;03.03.2016;17.01.2017;26.01.2018;25.01.2019;04.03.2020;03.03.2021;02.03.2022;01.03.2023;23.01.2024
MIKRON HOLDING AG ;CH0003390066;4970;08.03.2016;16.03.2017;12.03.2018;20.03.2019;16.03.2020;10.03.2021;11.03.2022;10.03.2023;24.01.2024
RIETER HOLDING AG ;CH0003671440;4970;15.03.2016;09.03.2017;07.03.2018;30.01.2019;15.04.2020;09.03.2021;09.03.2022;25.01.2023;24.01.2024
SCHLATTER HOLDING AG ;CH0002277314;4970;27.04.2016;26.01.2017;29.01.2018;24.01.2019;17.03.2020;23.02.2021;31.03.2022;26.01.2023;25.01.2024
GIVAUDAN SA ;CH0010645932;2580;02.02.2016;31.01.2017;26.01.2018;25.01.2019;24.01.2020;29.01.2021;28.01.2022;25.01.2023;25.01.2024
EMMI AG ;CH0012829898;4640;24.03.2016;22.03.2017;05.03.2018;01.03.2019;02.03.2020;02.03.2021;04.03.2022;06.02.2023;25.01.2024
LONZA GROUP AG ;CH0013841017;2580;27.01.2016;25.01.2017;31.01.2018;30.01.2019;21.01.2020;27.01.2021;26.01.2022;25.01.2023;26.01.2024
SGS SA ;CH1256740924;8580;20.01.2016;23.01.2017;23.01.2018;22.01.2019;28.01.2020;28.01.2021;27.01.2022;26.01.2023;26.01.2024
PIERER MOBILITY AG ;AT0000KTMI02;8580;06.04.2016;23.02.2017;20.02.2018;20.02.2019;20.02.2020;01.02.2021;29.03.2022;28.03.2023;29.01.2024
INTERROLL HOLDING AG ;CH0006372897;4992;23.02.2016;23.02.2017;20.02.2018;19.02.2019;19.02.2020;19.03.2021;22.02.2022;30.01.2023;29.01.2024
BUCHER INDUSTRIES AG ;CH0002432174;4910;08.03.2016;07.03.2017;06.03.2018;06.03.2019;04.03.2020;28.01.2021;27.01.2022;26.01.2023;30.01.2024
NOVARTIS ;CH0012005267;3410;28.01.2016;25.01.2017;24.01.2018;30.01.2019;29.01.2020;26.01.2021;02.02.2022;01.02.2023;31.01.2024
VALIANT HOLDING ;CH0014786500;4320;24.03.2016;15.02.2017;14.02.2018;13.02.2019;13.02.2020;11.02.2021;17.02.2022;01.02.2023;31.01.2024
GURIT HOLDING AG ;CH1173567111;2510;22.03.2016;14.04.2017;13.03.2018;19.02.2019;19.02.2020;02.03.2021;04.03.2022;02.03.2023;31.01.2024
BERNER KANTO ;CH0009691608;4310;29.01.2016;26.01.2017;26.01.2018;31.01.2019;30.01.2020;29.01.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032048;3430;28.01.2016;02.02.2017;01.02.2018;31.01.2019;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032113;3430;28.01.2016;02.02.2017;01.02.2018;31.01.2019;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ABB LTD ;CH0012221716;4970;04.02.2016;08.02.2017;08.02.2018;28.02.2019;05.02.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
JULIUS BAER ;CH0102484968;4310;01.02.2016;01.02.2017;31.01.2018;04.02.2019;03.02.2020;01.02.2021;02.02.2022;02.02.2023;01.02.2024
COMET HOLDING AG ;CH0360826991;3730;18.03.2016;17.03.2017;15.03.2018;11.02.2019;19.03.2020;27.01.2021;20.01.2022;02.03.2023;01.02.2024
LUZERNER KANTONAL ;CH1252930610;4320;04.02.2016;03.02.2017;01.02.2018;19.02.2019;19.02.2020;02.02.2021;03.02.2022;07.02.2023;01.02.2024
MEDACTA GROUP SA ;CH0468525222;3440;01.04.2019;01.04.2019;01.04.2019;01.04.2019;21.01.2020;21.01.2021;20.01.2022;03.02.2023;02.02.2024
ZUGER KANTONALBANK ;CH0493891243;4320;16.03.2016;17.03.2017;24.01.2018;21.02.2019;27.01.2020;28.01.2021;21.01.2022;06.02.2023;05.02.2024
UBS GROUP AG ;CH0244767585;4395;02.02.2016;27.01.2017;22.01.2018;22.01.2019;21.01.2020;26.01.2021;01.02.2022;31.01.2023;06.02.2024
DAETWYLER HOLDING AG ;CH0030486770;3110;07.03.2016;07.02.2017;06.02.2018;08.02.2019;06.02.2020;09.02.2021;18.02.2022;09.02.2023;07.02.2024
BELL FOOD GROUP AG ;CH0315966322;4670;09.03.2016;23.02.2017;20.02.2018;18.02.2019;17.02.2020;12.02.2021;11.02.2022;10.02.2023;07.02.2024
SWISS PRIME SITE ;CH0008038389;4392;15.03.2016;02.03.2017;01.03.2018;28.02.2019;27.02.2020;25.02.2021;17.02.2022;09.02.2023;08.02.2024
VONTOBEL HOLDING AG ;CH0012335540;4394;11.02.2016;08.02.2017;13.02.2018;12.02.2019;12.02.2020;11.02.2021;09.02.2022;08.02.2023;08.02.2024
CIE FINANC TRADITION ;CH0014345117;4394;28.04.2016;20.01.2017;29.01.2018;29.01.2019;13.03.2020;28.04.2021;29.04.2022;27.04.2023;08.02.2024
LEONTEQ AG ;CH0190891181;4394;04.02.2016;09.02.2017;08.02.2018;08.02.2019;13.02.2020;11.02.2021;10.02.2022;09.02.2023;08.02.2024
BANQUE CANT VAUDOISE ;CH0531751755;4310;16.03.2016;17.02.2017;15.02.2018;21.02.2019;27.02.2020;18.02.2021;17.02.2022;10.02.2023;08.02.2024
AM - SRAM AG ;AT0000A3EPA4;4060;02.02.2016;07.02.2017;05.02.2018;05.02.2019;11.02.2020;09.02.2021;08.02.2022;07.02.2023;09.02.2024
GRAUBUENDNER KBK ;CH0001340204;4320;23.02.2016;07.03.2017;11.04.2018;01.03.2019;06.04.2020;04.02.2021;04.02.2022;10.02.2023;09.02.2024
SWISSCOM ;CH0008742519;8210;04.02.2016;08.02.2017;07.02.2018;07.02.2019;06.02.2020;04.02.2021;03.02.2022;09.02.2023;09.02.2024
MOBIMO HOLDING AG ;CH0011108872;4392;11.02.2016;10.02.2017;09.02.2018;08.02.2019;07.02.2020;05.02.2021;11.02.2022;10.02.2023;09.02.2024
EM - HEMIE HOLDING ;CH0016440353;2530;05.02.2016;10.02.2017;08.02.2018;08.02.2019;07.02.2020;12.02.2021;11.02.2022;10.02.2023;09.02.2024
BASILEA PHARMACEUTIC ;CH0011432447;3430;29.02.2016;20.02.2017;27.02.2018;19.02.2019;18.02.2020;16.02.2021;15.02.2022;14.02.2023;13.02.2024
ST GALLER KANT ;CH0011484067;4310;17.02.2016;16.02.2017;15.02.2018;15.02.2019;12.02.2020;18.02.2021;16.02.2022;15.02.2023;14.02.2024
SCHINDLER HOLDING AG ;CH0024638196;4970;12.02.2016;15.02.2017;15.02.2018;14.02.2019;14.02.2020;17.02.2021;16.02.2022;22.02.2023;14.02.2024
SCHINDLER HOLDING AG ;CH0024638212;4970;12.02.2016;15.02.2017;15.02.2018;14.02.2019;14.02.2020;17.02.2021;16.02.2022;22.02.2023;14.02.2024
HYPOTHERBK LENZBURG ;CH0001341608;4310;19.02.2016;16.02.2017;09.03.2018;19.02.2019;19.02.2020;18.02.2021;16.02.2022;13.02.2023;15.02.2024
THURGAUER KANTONAL ;CH0231351104;4310;30.03.2016;28.03.2017;13.03.2018;13.03.2019;18.02.2020;19.02.2021;15.04.2022;16.02.2023;15.02.2024
SOFTWAREONE HOLD ;CH0496451508;4030;NA;01.10.2019;01.10.2019;01.10.2019;31.03.2020;25.03.2021;03.03.2022;02.03.2023;15.02.2024
