Name;ISIN CODE;INDUSTRY GROUP;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
BOSSARD HOLDING AG ;CH0238627142;8591;19.02.2020;03.03.2021;02.03.2022;12.01.2023;11.01.2024
VAT GROUP ;CH0311864901;4992;03.03.2020;14.01.2021;12.01.2022;12.01.2023;11.01.2024
DOCMORRIS AG ;CH0042615283;7040;19.03.2020;21.01.2021;20.01.2022;19.01.2023;16.01.2024
GEBERIT AG ;CH0030170408;2891;21.01.2020;10.03.2021;14.01.2022;19.01.2023;17.01.2024
GALENICA AG ;CH0360674466;3410;21.01.2020;09.03.2021;08.03.2022;06.03.2023;18.01.2024
BB BIOTECH AG ;CH0038389992;4350;17.01.2020;22.01.2021;18.02.2022;17.02.2023;19.01.2024
ZEHNDER GROUP AG ;CH0276534614;5570;26.02.2020;24.02.2021;14.01.2022;23.01.2023;19.01.2024
THE SWATCH GROUP ;CH0012255144;8592;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
THE SWATCH GROUP ;CH0012255151;8592;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
BELIMO HOLDINGS AG ;CH1101098163;3750;09.03.2020;08.03.2021;20.01.2022;19.01.2023;22.01.2024
KOMAX HOLDING AG ;CH0010702154;4970;28.01.2020;26.01.2021;25.01.2022;24.01.2023;23.01.2024
AUTONEUM HOLD ;CH0127480363;1910;04.03.2020;03.03.2021;02.03.2022;01.03.2023;23.01.2024
MIKRON HOLDING AG ;CH0003390066;4970;16.03.2020;10.03.2021;11.03.2022;10.03.2023;24.01.2024
RIETER HOLDING AG ;CH0003671440;4970;15.04.2020;09.03.2021;09.03.2022;25.01.2023;24.01.2024
SCHLATTER HOLDING AG ;CH0002277314;4970;17.03.2020;23.02.2021;31.03.2022;26.01.2023;25.01.2024
GIVAUDAN SA ;CH0010645932;2580;24.01.2020;29.01.2021;28.01.2022;25.01.2023;25.01.2024
EMMI AG ;CH0012829898;4640;02.03.2020;02.03.2021;04.03.2022;06.02.2023;25.01.2024
LONZA GROUP AG ;CH0013841017;2580;21.01.2020;27.01.2021;26.01.2022;25.01.2023;26.01.2024
SGS SA ;CH1256740924;8580;28.01.2020;28.01.2021;27.01.2022;26.01.2023;26.01.2024
PIERER MOBILITY AG ;AT0000KTMI02;8580;20.02.2020;01.02.2021;29.03.2022;28.03.2023;29.01.2024
INTERROLL HOLDING AG ;CH0006372897;4992;19.02.2020;19.03.2021;22.02.2022;30.01.2023;29.01.2024
BUCHER INDUSTRIES AG ;CH0002432174;4910;04.03.2020;28.01.2021;27.01.2022;26.01.2023;30.01.2024
NOVARTIS ;CH0012005267;3410;29.01.2020;26.01.2021;02.02.2022;01.02.2023;31.01.2024
VALIANT HOLDING ;CH0014786500;4320;13.02.2020;11.02.2021;17.02.2022;01.02.2023;31.01.2024
GURIT HOLDING AG ;CH1173567111;2510;19.02.2020;02.03.2021;04.03.2022;02.03.2023;31.01.2024
BERNER KANTO ;CH0009691608;4310;30.01.2020;29.01.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032048;3430;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032113;3430;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ABB LTD ;CH0012221716;4970;05.02.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
JULIUS BAER ;CH0102484968;4310;03.02.2020;01.02.2021;02.02.2022;02.02.2023;01.02.2024
COMET HOLDING AG ;CH0360826991;3730;19.03.2020;27.01.2021;20.01.2022;02.03.2023;01.02.2024
LUZERNER KANTONAL ;CH1252930610;4320;19.02.2020;02.02.2021;03.02.2022;07.02.2023;01.02.2024
MEDACTA GROUP SA ;CH0468525222;3440;21.01.2020;21.01.2021;20.01.2022;03.02.2023;02.02.2024
ZUGER KANTONALBANK ;CH0493891243;4320;27.01.2020;28.01.2021;21.01.2022;06.02.2023;05.02.2024
UBS GROUP AG ;CH0244767585;4395;21.01.2020;26.01.2021;01.02.2022;31.01.2023;06.02.2024
DAETWYLER HOLDING AG ;CH0030486770;3110;06.02.2020;09.02.2021;18.02.2022;09.02.2023;07.02.2024
BELL FOOD GROUP AG ;CH0315966322;4670;17.02.2020;12.02.2021;11.02.2022;10.02.2023;07.02.2024
