ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
AT0000A3EPA4;FY Dec-19;11.02.2020;13.21322; 12.00 ;11.5461;1.66712;0.14;Positive;1.7871
AT0000A3EPA4;FY Dec-20;09.02.2021;-2.63904; 7.00 ;0.7867;-3.42574;-4.35;Negativ;2.7354
AT0000A3EPA4;FY Dec-21;08.02.2022;5.45464; 10.00 ;3.9533;1.50134;0.38;Positive;2.5617
AT0000A3EPA4;FY Dec-22;07.02.2023;2.52503; 10.00 ;2.6972;-0.17217;-0.06;Negativ;1.1558
AT0000A3EPA4;FY Dec-23;09.02.2024;1.6; 11.00 ;-1.143;2.743;2.4;Positive;5.2077
AT0000KTMI02;FY Dec-19;20.02.2020;2.4201; 3.00 ;2.30913;0.11097;0.05;Neutral;0.24898
AT0000KTMI02;FY Dec-20;01.02.2021;1.56008; 2.00 ;1.48753;0.07255;0.05;Neutral;0.08315
AT0000KTMI02;FY Dec-21;29.03.2022;3.33958; 2.00 ;3.08706;0.25252;0.08;Positive;0.42189
AT0000KTMI02;FY Dec-22;28.03.2023;5.03019; 2.00 ;4.94359;0.0866;0.02;Neutral;0.11359
AT0000KTMI02;FY Dec-23;29.01.2024;2.37; 3.00 ;2.96333;-0.59333;-0.2;Negativ;0.42594
CH0000816824;FY Dec-19;03.03.2020;0.329896382; 10.00 ;0.526025102;-0.19612872;-0.37;Negativ;0.077600143
CH0000816824;FY Dec-20;02.03.2021;0.319254563; 9.00 ;0.197820769;0.121433794;0.61;Positive;0.097202373
CH0000816824;FY Dec-21;01.03.2022;0.670434583; 8.00 ;0.534889737;0.135544846;0.25;Positive;0.085677283
CH0000816824;FY Dec-22;21.02.2023;0.627867308; 8.00 ;0.631198197;-0.003330889;-0.01;Neutral;0.093052063
CH0000816824;FY Dec-23;20.02.2024;0.532090939; 7.00 ;0.384925227;0.147165712;0.38;Positive;0.09127488
CH0001340204;FY Dec-19;06.04.2020;79.81364084; 2.00 ;77.32345524;2.490185594;0.03;Neutral;3.256396546
CH0001340204;FY Dec-20;04.02.2021;75.7697497; 1.00 ;72.79004044;2.979709258;0.04;Neutral;0
CH0001340204;FY Dec-21;04.02.2022;87.19906307; 1.00 ;87.26291398;-0.063850913; -   ;Positive;0
CH0001340204;FY Dec-22;10.02.2023;88.72084315; 1.00 ;83.00618647;5.714656684;0.07;Positive;0
