"";"ISIN";"Reportdate";"Name";"Group";"Year";"Actual";"Estimate";"Mean";"Surprise";"SurpriseSD";"SurprisePercent";"SurpriseCategory";"CAPM_a";"CAPM_a_sd";"CAPM_a_p";"CAPM_beta";"CAPM_beta_sd";"CAPM_beta_p";"CAPM_BPtest_p";"CAPM_robust_a";"CAPM_robust_a_sd";"CAPM_robust_beta";"CAPM_robust_beta_sd";"CAR_shortterm";"CAR_middleterm";"BHAR_shortterm";"BHAR_middleterm"
"BP";"AT0000A3EPA4";2020-02-11;"AM - SRAM AG ";4060;2019;13,21322;12;11,5461;1,66712;1,7871;0,14;"Positive";0,000284615453750507;0,00227359116639881;0,900493341066417;2,12080163524319;0,364921722164253;2,16535435508237e-08;0,577900496409979;-0,00117565956823064;0,00196532647080035;2,01372671737053;0,315443836578337;-0,0789009646191835;-0,628531479047119;-0,0790223879194669;-0,26815797774435
"BP1";"AT0000A3EPA4";2021-02-09;"AM - SRAM AG ";4060;2020;-2,63904;7;0,7867;-3,42574;2,7354;-4,35;"Negativ";-0,000183468253217774;0,00278198380501859;0,94747882053855;1,4160545496233;0,190463993040147;2,33722436171486e-12;0,756548986796097;0,00118783438571351;0,00209523719874516;1,57176315816662;0,143447004443143;-0,0666553055805505;-0,293393310816162;-0,0700217882374523;-0,282067831534458
"BP2";"AT0000A3EPA4";2022-02-08;"AM - SRAM AG ";4060;2021;5,45464;10;3,9533;1,50134;2,5617;0,38;"Positive";-0,00209241526782192;0,00148882202469077;0,161314428195377;1,32137128232747;0,228224986776589;2,4247068246507e-08;0,613316258965811;-0,00170592147821674;0,00131727778256143;1,20552774825142;0,201928571394299;0,123114234892337;-0,130536706925436;0,124596334892852;-0,127035743157459
"BP3";"AT0000A3EPA4";2023-02-07;"AM - SRAM AG ";4060;2022;2,52503;10;2,6972;-0,17217;1,1558;-0,06;"Negativ";-0,0022819771605734;0,00184480918998724;0,217422288836761;2,05348659653292;0,178426078726636;2,79177463828836e-24;0,65783488428656;-0,00126101554226332;0,00177699732064376;2,02874545608931;0,171867456835683;-0,223974131028153;-0,00315994467858245;-0,205145439434976;-0,00819706980645418
"BP4";"AT0000A3EPA4";2024-02-09;"AM - SRAM AG ";4060;2023;1,6;11;-1,143;2,743;5,2077;2,4;"Positive";-0,00181897998663791;0,002528463170279;0,472660597440245;2,06077683839116;0,391911528262541;3,45066180245326e-07;0,924208893910616;-0,00203335116399826;0,00185808516116869;2,11206592036655;0,28800300661497;0,146548995801028;-0,621576462818491;0,146124995789902;-0,544869427668062
"BP5";"AT0000KTMI02";2020-02-20;"PIERER MOBILITY AG ";8580;2019;2,4201;3;2,30913;0,11097;0,24898;0,05;"Neutral";-0,000653032726604478;0,00087019407558293;0,453792296218131;0,344782908534902;0,139647482391977;0,0143160171241357;0,425226658407148;-0,000865085272460333;0,000781677420430857;0,320117433814019;0,12544245803179;-0,00678119212047053;-0,394019176232422;-0,00715308306896234;-0,333433839121081
"BP6";"AT0000KTMI02";2021-02-01;"PIERER MOBILITY AG ";8580;2020;1,56008;2;1,48753;0,07255;0,08315;0,05;"Neutral";0,00200195932194735;0,00167344668211038;0,232869558712041;0,9902789560681;0,113358224102461;6,33846410071424e-16;0,205523485674339;0,00243229435784251;0,00135055379210027;0,771385838351746;0,0914856631310541;0,0258836072672531;-0,0875693178507673;0,0263000703509546;-0,0938663724966595
"BP7";"AT0000KTMI02";2022-03-29;"PIERER MOBILITY AG ";8580;2021;3,33958;2;3,08706;0,25252;0,42189;0,08;"Positive";0,000860243047263893;0,000806286715836283;0,287182911963686;0,290339073187822;0,110775701913512;0,00938250871179366;0,672150813770412;0,000306196139683653;0,000757019982402317;0,219923646680603;0,104006947238603;0,0179358963825775;-0,0916192366372105;0,0180324373247764;-0,0895084844677466
"BP8";"AT0000KTMI02";2023-03-28;"PIERER MOBILITY AG ";8580;2022;5,03019;2;4,94359;0,0866;0,11359;0,02;"Neutral";0,000227381760044924;0,00114540616204721;0,842825319562191;0,626531135365708;0,123630213371323;8,5493962475596e-07;0,38772590685982;-0,000185671491003961;0,00100965030805411;0,628001149505495;0,108977310539393;-0,0228132045673742;-0,0979927393095704;-0,0231782860477339;-0,0973879528830477
"BP9";"AT0000KTMI02";2024-01-29;"PIERER MOBILITY AG ";8580;2023;2,37;3;2,96333;-0,59333;0,42594;-0,2;"Negativ";-0,00251806287111755;0,00115451823930159;0,0302444874487569;0,774256930635338;0,178248730448293;2,14305505905798e-05;0,438223891255754;-0,00181369509244183;0,000913106878851842;0,696068005788069;0,140976674406984;-0,0286965096775983;-0,0144738370348053;-0,0282012410353011;-0,0176660370061554
