ISIN CODE;DATE;ABNORMAL_RETURN;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category
AT0000A3EPA4;28.01.2020;-0.009187984;0.019100572;0.009912588;0.00883828;-10;#NV
AT0000A3EPA4;29.01.2020;0.011048277;0.015703751;0.026752027;0.007242725;-9;#NV
AT0000A3EPA4;30.01.2020;0.010482348;-0.022069147;-0.011586799;-0.010499953;-8;#NV
AT0000A3EPA4;31.01.2020;-0.019657965;-0.02299468;-0.042652645;-0.010934694;-7;#NV
AT0000A3EPA4;03.02.2020;-0.016614828;0.007706692;-0.008908136;0.003486349;-6;#NV
AT0000A3EPA4;04.02.2020;0.02544634;0.026602421;0.052048761;0.012362047;-5;#NV
AT0000A3EPA4;05.02.2020;0.000816159;0.033765047;0.034581206;0.015726474;-4;#NV
AT0000A3EPA4;06.02.2020;0.053065548;0.002551238;0.055616786;0.001064729;-3;#NV
AT0000A3EPA4;07.02.2020;0.001097091;-0.002649374;-0.001552283;-0.001378101;-2;#NV
AT0000A3EPA4;10.02.2020;0.030654112;0.008542371;0.039196484;0.003878884;-1;#NV
AT0000A3EPA4;11.02.2020;-0.042213412;0.010760428;-0.031452984;0.004920749;0;Positive
AT0000A3EPA4;12.02.2020;-0.012214256;-0.003555102;-0.015769358;-0.001803539;1;#NV
AT0000A3EPA4;13.02.2020;-0.021876488;-0.00236754;-0.024244028;-0.001245718;2;#NV
AT0000A3EPA4;14.02.2020;-0.043932474;0.010344747;-0.033587727;0.004725495;3;#NV
AT0000A3EPA4;17.02.2020;-0.047869494;0.006218896;-0.041650598;0.002787501;4;#NV
AT0000A3EPA4;18.02.2020;-0.013479011;-0.004989693;-0.018468704;-0.002477395;5;#NV
AT0000A3EPA4;19.02.2020;-0.007206653;0.021956853;0.0147502;0.010179932;6;#NV
AT0000A3EPA4;20.02.2020;0.013787417;-0.016772207;-0.002984791;-0.008011876;7;#NV
AT0000A3EPA4;21.02.2020;-0.006381042;-0.008163112;-0.014544154;-0.003968013;8;#NV
AT0000A3EPA4;24.02.2020;0.002439728;-0.076331537;-0.073891808;-0.035988073;9;#NV
AT0000A3EPA4;25.02.2020;0.028259006;-0.04222763;-0.013968625;-0.019968793;10;#NV
AT0000A3EPA4;26.01.2021;0.058583015;0.007140326;0.06572334;0.005695497;-10;#NV
AT0000A3EPA4;27.01.2021;0.015785894;-0.009400166;0.006385729;-0.005568577;-9;#NV
AT0000A3EPA4;28.01.2021;0.033258534;-0.00588953;0.027369004;-0.003177834;-8;#NV
AT0000A3EPA4;29.01.2021;0.023628616;-0.034310002;-0.010681385;-0.022532175;-7;#NV
AT0000A3EPA4;01.02.2021;-0.046027324;0.019284153;-0.026743171;0.013965443;-6;#NV
AT0000A3EPA4;02.02.2021;0.01895195;0.009579393;0.028531343;0.007356502;-5;#NV
AT0000A3EPA4;03.02.2021;-8.19E-05;-0.003939731;-0.004021637;-0.001850021;-4;#NV
AT0000A3EPA4;04.02.2021;-0.002800377;0.009054816;0.006254439;0.006999265;-3;#NV
AT0000A3EPA4;05.02.2021;0.069902217;-0.014034826;0.055867391;-0.008724781;-2;#NV
AT0000A3EPA4;08.02.2021;0.035026539;0.002997463;0.038024002;0.002874208;-1;#NV
AT0000A3EPA4;09.02.2021;-0.073914797;0.000742349;-0.073172448;0.001338475;0;Negativ
AT0000A3EPA4;10.02.2021;-0.027526282;0.000552899;-0.026973384;0.001209459;1;#NV
AT0000A3EPA4;11.02.2021;0.026768167;0.003254099;0.030022265;0.003048977;2;#NV
AT0000A3EPA4;12.02.2021;-0.018093977;0.002311692;-0.015782285;0.002407197;3;#NV
AT0000A3EPA4;15.02.2021;-0.010011267;0.006468174;-0.003543093;0.005237762;4;#NV
AT0000A3EPA4;16.02.2021;0.005846056;-0.003628093;0.002217963;-0.001637796;5;#NV
AT0000A3EPA4;17.02.2021;-0.018392332;-0.015362401;-0.033754733;-0.009628859;6;#NV
AT0000A3EPA4;18.02.2021;0.005679198;-0.012105966;-0.006426768;-0.007411227;7;#NV
AT0000A3EPA4;19.02.2021;0.025207468;-0.000187643;0.025019826;0.000705151;8;#NV
AT0000A3EPA4;22.02.2021;0.001551791;-0.002446915;-0.000895124;-0.000833414;9;#NV
AT0000A3EPA4;23.02.2021;-0.01504281;-0.016940529;-0.031983339;-0.010703565;10;#NV
AT0000A3EPA4;25.01.2022;0.009840794;0.00513067;0.014971464;0.005367261;-10;#NV
AT0000A3EPA4;26.01.2022;0.023562962;0.015710651;0.039273613;0.01289147;-9;#NV
AT0000A3EPA4;27.01.2022;0.000102623;0.003869258;0.003971881;0.004470178;-8;#NV
AT0000A3EPA4;28.01.2022;0.003614565;-0.009590703;-0.005976138;-0.005102198;-7;#NV
AT0000A3EPA4;31.01.2022;0.008544622;0.013175256;0.021719878;0.011088362;-6;#NV
AT0000A3EPA4;01.02.2022;-0.010641119;0.010313872;-0.000327247;0.00905342;-5;#NV
AT0000A3EPA4;02.02.2022;0.014828894;-0.000279463;0.014549431;0.001519714;-4;#NV
AT0000A3EPA4;03.02.2022;-0.00451431;-0.019523216;-0.024037526;-0.012165944;-3;#NV
AT0000A3EPA4;04.02.2022;0.008743091;-0.013023232;-0.004280141;-0.007543324;-2;#NV
AT0000A3EPA4;07.02.2022;-0.001429827;0.002093283;0.000663456;0.00320715;-1;#NV
AT0000A3EPA4;08.02.2022;0.095665979;-0.009428677;0.086237302;-0.00498697;0;Positive
AT0000A3EPA4;09.02.2022;0.032075077;0.022411913;0.05448699;0.017657234;1;#NV
AT0000A3EPA4;10.02.2022;0.014176892;-0.006471015;0.007705877;-0.002883557;2;#NV
AT0000A3EPA4;11.02.2022;-0.020764418;-0.011602329;-0.032366747;-0.006532815;3;#NV
AT0000A3EPA4;14.02.2022;0.007167198;-0.026747625;-0.019580427;-0.017303757;4;#NV
AT0000A3EPA4;15.02.2022;-0.029000481;0.01573057;-0.013269911;0.012905635;5;#NV
AT0000A3EPA4;16.02.2022;0.006993277;-0.001853037;0.00514024;0.00040063;6;#NV
AT0000A3EPA4;17.02.2022;-0.017195765;-0.015024548;-0.032220313;-0.008966608;7;#NV
AT0000A3EPA4;18.02.2022;-0.006278194;-0.010395103;-0.016673297;-0.005674267;8;#NV
AT0000A3EPA4;21.02.2022;-0.000732505;-0.016860183;-0.017592688;-0.010272064;9;#NV
AT0000A3EPA4;22.02.2022;-0.02052752;0.005234351;-0.015293169;0.005440996;10;#NV
AT0000A3EPA4;24.01.2023;-0.016247825;-0.002457473;-0.018705298;0;-10;#NV
AT0000A3EPA4;25.01.2023;0.001796243;-0.006070918;-0.004274675;-0.001732352;-9;#NV
AT0000A3EPA4;26.01.2023;0.037189093;-0.015543946;0.021645147;-0.006273897;-8;#NV
AT0000A3EPA4;27.01.2023;0.005671421;0.000270246;0.005941666;0.001307719;-7;#NV
AT0000A3EPA4;30.01.2023;-0.030763125;0.004540325;-0.0262228;0.003354874;-6;#NV
AT0000A3EPA4;31.01.2023;-0.026407366;-0.018300841;-0.044708208;-0.007595604;-5;#NV
AT0000A3EPA4;01.02.2023;0.084552777;-0.012519278;0.072033499;-0.004823815;-4;#NV
AT0000A3EPA4;02.02.2023;0.062657867;0.00434283;0.067000697;0.003260191;-3;#NV
AT0000A3EPA4;03.02.2023;-0.018391674;0.023492852;0.005101178;0.012441066;-2;#NV
AT0000A3EPA4;06.02.2023;-0.019501664;-0.015781566;-0.03528323;-0.006387817;-1;#NV
AT0000A3EPA4;07.02.2023;-0.177175986;-0.01286533;-0.190041316;-0.004989719;0;Negativ
AT0000A3EPA4;08.02.2023;-0.061843172;0.003143204;-0.058699968;0.002685068;1;#NV
AT0000A3EPA4;09.02.2023;0.017574994;-0.010537667;0.007037327;-0.003873794;2;#NV
AT0000A3EPA4;10.02.2023;0.004928297;-0.021214274;-0.016285977;-0.008992357;3;#NV
AT0000A3EPA4;13.02.2023;-0.024038871;0.013032309;-0.011006561;0.007426088;4;#NV
AT0000A3EPA4;14.02.2023;0.0135317;0.002375899;0.015907598;0.002317208;5;#NV
AT0000A3EPA4;15.02.2023;0.011060122;0.003275779;0.014335901;0.002748627;6;#NV
AT0000A3EPA4;16.02.2023;0.008212732;-0.016034281;-0.007821549;-0.006508973;7;#NV
AT0000A3EPA4;17.02.2023;-0.021485301;0.007342371;-0.01414293;0.004698226;8;#NV
AT0000A3EPA4;20.02.2023;-0.012389114;-0.001154299;-0.013543413;0.000624766;9;#NV
AT0000A3EPA4;21.02.2023;-0.018397044;-0.001806191;-0.020203235;0.000312237;10;#NV
AT0000A3EPA4;26.01.2024;-0.042233405;0.028798362;-0.013435043;0.015974983;-10;#NV
AT0000A3EPA4;29.01.2024;-0.012888312;0.00246447;-0.010423842;0.002700583;-9;#NV
AT0000A3EPA4;30.01.2024;-0.017397061;-0.000530332;-0.017927393;0.001190961;-8;#NV
AT0000A3EPA4;31.01.2024;-0.031049315;-0.019365545;-0.05041486;-0.008303501;-7;#NV
AT0000A3EPA4;01.02.2024;0.00982584;-0.01962984;-0.009804;-0.008436727;-6;#NV
AT0000A3EPA4;02.02.2024;-0.005085686;0.000642331;-0.004443355;0.001782078;-5;#NV
AT0000A3EPA4;05.02.2024;0.002378773;0.004033086;0.006411859;0.003491291;-4;#NV
AT0000A3EPA4;06.02.2024;0.001874928;-0.007297667;-0.005422739;-0.00222032;-3;#NV
AT0000A3EPA4;07.02.2024;-0.056654688;-0.008444214;-0.065098902;-0.002798272;-2;#NV
AT0000A3EPA4;08.02.2024;0.039979042;-0.011375948;0.028603094;-0.004276102;-1;#NV
AT0000A3EPA4;09.02.2024;0.132204226;-0.013197183;0.119007043;-0.005194151;0;Positive
AT0000A3EPA4;12.02.2024;0.032015677;0.013365775;0.045381452;0.008195718;1;#NV
AT0000A3EPA4;13.02.2024;-0.02202428;-0.010243713;-0.032267993;-0.003705364;2;#NV
AT0000A3EPA4;14.02.2024;-0.040660183;0.011025008;-0.029635175;0.007015782;3;#NV
AT0000A3EPA4;15.02.2024;0.02787356;0.008923687;0.036797247;0.005956548;4;#NV
AT0000A3EPA4;16.02.2024;-0.015691933;0.000863533;-0.0148284;0.001893581;5;#NV
AT0000A3EPA4;19.02.2024;-0.05169569;0.010571854;-0.041123836;0.006787356;6;#NV
AT0000A3EPA4;20.02.2024;-0.031658575;0.003433788;-0.028224787;0.003189197;7;#NV
AT0000A3EPA4;21.02.2024;0.010871622;-0.007480967;0.003390655;-0.002312718;8;#NV
AT0000A3EPA4;22.02.2024;0.051100214;-0.010355591;0.040744622;-0.00376176;9;#NV
AT0000A3EPA4;23.02.2024;0.002678677;0.014352804;0.017031482;0.00869326;10;#NV
AT0000KTMI02;06.02.2020;-0.001301043;-0.000689008;-0.00199005;0.001064729;-10;#NV
AT0000KTMI02;07.02.2020;-0.002552903;-0.001439118;-0.003992021;-0.001378101;-9;#NV
AT0000KTMI02;10.02.2020;-0.002177127;0.000175124;-0.002002003;0.003878884;-8;#NV
AT0000KTMI02;11.02.2020;0.007489029;0.000495046;0.007984074;0.004920749;-7;#NV
AT0000KTMI02;12.02.2020;0.02902246;-0.001569756;0.027452704;-0.001803539;-6;#NV
AT0000KTMI02;13.02.2020;0.003330836;-0.001398468;0.001932368;-0.001245718;-5;#NV
AT0000KTMI02;14.02.2020;-0.00043509;0.00043509;0;0.004725495;-4;#NV
AT0000KTMI02;17.02.2020;-0.003708474;-0.000160002;-0.003868477;0.002787501;-3;#NV
AT0000KTMI02;18.02.2020;-0.013848644;-0.001776674;-0.015625318;-0.002477395;-2;#NV
AT0000KTMI02;19.02.2020;0.017383831;0.002109963;0.019493795;0.010179932;-1;#NV
AT0000KTMI02;20.02.2020;0.007329696;-0.003476126;0.003853569;-0.008011876;0;Neutral
AT0000KTMI02;21.02.2020;-0.015224829;-0.002234393;-0.017459221;-0.003968013;1;#NV
AT0000KTMI02;24.02.2020;-0.003712748;-0.012066672;-0.01577942;-0.035988073;2;#NV
AT0000KTMI02;25.02.2020;-0.012933304;-0.007147692;-0.020080996;-0.019968793;3;#NV
AT0000KTMI02;26.02.2020;0.002256519;-0.000230176;0.002026343;0.002558973;4;#NV
AT0000KTMI02;27.02.2020;-0.012622533;-0.00989633;-0.022518864;-0.028920081;5;#NV
AT0000KTMI02;28.02.2020;-0.005495854;-0.012259181;-0.017755036;-0.036615005;6;#NV
AT0000KTMI02;02.03.2020;0.007676263;0.002806013;0.010482276;0.012446707;7;#NV
AT0000KTMI02;03.03.2020;-0.009074428;0.003847025;-0.005227403;0.015836892;8;#NV
AT0000KTMI02;04.03.2020;-0.000364055;0.003503775;0.00313972;0.014719056;9;#NV
AT0000KTMI02;05.03.2020;-0.000890883;-0.004347474;-0.005238357;-0.010849529;10;#NV
AT0000KTMI02;18.01.2021;0.001892908;0.004850206;0.006743114;0.003178844;-10;#NV
AT0000KTMI02;19.01.2021;-0.009578879;-0.001232037;-0.010810916;-0.002796849;-9;#NV
AT0000KTMI02;20.01.2021;-0.002331005;0.007751073;0.005420067;0.006028893;-8;#NV
AT0000KTMI02;21.01.2021;-0.015173364;0.00019691;-0.014976454;-0.001392934;-7;#NV
AT0000KTMI02;22.01.2021;-0.015942837;0.002130463;-0.013812374;0.000506746;-6;#NV
AT0000KTMI02;25.01.2021;0.001969052;-0.000579198;0.001389854;-0.002155447;-5;#NV
AT0000KTMI02;26.01.2021;0.019987242;0.007411732;0.027398974;0.005695497;-4;#NV
AT0000KTMI02;27.01.2021;-0.005451297;-0.004053187;-0.009504484;-0.005568577;-3;#NV
AT0000KTMI02;28.01.2021;-0.016274674;-0.001619815;-0.01789449;-0.003177834;-2;#NV
AT0000KTMI02;29.01.2021;0.050068668;-0.021319255;0.028749413;-0.022532175;-1;#NV
AT0000KTMI02;01.02.2021;0.000235467;0.015829136;0.016064603;0.013965443;0;Neutral
AT0000KTMI02;02.02.2021;-0.015764603;0.009102353;-0.00666225;0.007356502;1;#NV
AT0000KTMI02;03.02.2021;0.000268327;-0.000268327;0;-0.001850021;2;#NV
AT0000KTMI02;04.02.2021;-0.006068518;0.008738747;0.002670229;0.006999265;3;#NV
AT0000KTMI02;05.02.2021;0.005931444;-0.007265667;-0.001334223;-0.008724781;4;#NV
AT0000KTMI02;08.02.2021;0.023111394;0.004540137;0.027651531;0.002874208;5;#NV
AT0000KTMI02;09.02.2021;-0.018684151;0.002977022;-0.015707129;0.001338475;6;#NV
AT0000KTMI02;10.02.2021;-0.006811342;0.002845706;-0.003965636;0.001209459;7;#NV
AT0000KTMI02;11.02.2021;-0.004718022;0.004718022;0;0.003048977;8;#NV
AT0000KTMI02;12.02.2021;-0.0040648;0.0040648;0;0.002407197;9;#NV
AT0000KTMI02;15.02.2021;-0.004300331;0.006945835;0.002645504;0.005237762;10;#NV
AT0000KTMI02;15.03.2022;0.008533567;-6.41E-05;0.0084695;-0.000598086;-10;#NV
AT0000KTMI02;16.03.2022;0.005398142;0.010143115;0.015541257;0.021426009;-9;#NV
AT0000KTMI02;17.03.2022;-0.02482532;0.005663057;-0.019162263;0.011759362;-8;#NV
AT0000KTMI02;18.03.2022;0.007852361;0.005361045;0.013213405;0.011107708;-7;#NV
AT0000KTMI02;21.03.2022;-0.006091463;0.000107005;-0.005984458;-0.000228964;-6;#NV
AT0000KTMI02;22.03.2022;0.013109232;0.001193753;0.014302985;0.002115919;-5;#NV
AT0000KTMI02;23.03.2022;-0.004356226;-0.003962301;-0.008318527;-0.009009328;-4;#NV
AT0000KTMI02;24.03.2022;-0.016861901;0.001227187;-0.015634714;0.002188059;-3;#NV
AT0000KTMI02;25.03.2022;-0.014171801;-0.000480476;-0.014652277;-0.001496575;-2;#NV
AT0000KTMI02;28.03.2022;0.006441922;0.002131309;0.008573231;0.004138888;-1;#NV
AT0000KTMI02;29.03.2022;-0.00099551;0.007074556;0.006079046;0.014804962;0;Positive
AT0000KTMI02;30.03.2022;-0.003217084;-0.002861962;-0.006079046;-0.006635122;1;#NV
AT0000KTMI02;31.03.2022;0.013175716;-0.003466902;0.009708814;-0.007940403;2;#NV
AT0000KTMI02;01.04.2022;0.001455774;0.000956773;0.002412546;0.001604585;3;#NV
AT0000KTMI02;04.04.2022;0.019312296;0.005674132;0.024986428;0.011783259;4;#NV
AT0000KTMI02;05.04.2022;-0.014218908;0.001208671;-0.013010237;0.002148107;5;#NV
AT0000KTMI02;06.04.2022;-0.030699944;-0.003201608;-0.033901552;-0.007367977;6;#NV
AT0000KTMI02;07.04.2022;0.003042924;0.001871091;0.004914015;0.003577415;7;#NV
AT0000KTMI02;08.04.2022;-0.003562977;0.004787717;0.00122474;0.009870635;8;#NV
AT0000KTMI02;11.04.2022;0.020537286;5.70E-05;0.020594307;-0.000336814;9;#NV
AT0000KTMI02;12.04.2022;-0.004907551;-0.004731077;-0.009638629;-0.010668123;10;#NV
AT0000KTMI02;14.03.2023;-0.005752002;0.005752002;0;0.008647286;-10;#NV
AT0000KTMI02;15.03.2023;-0.02483119;-0.011582123;-0.036413314;-0.018498931;-9;#NV
AT0000KTMI02;16.03.2023;0.011713615;0.012292592;0.024006207;0.018890218;-8;#NV
AT0000KTMI02;17.03.2023;0.008943555;-0.005205233;0.003738322;-0.008512362;-7;#NV
AT0000KTMI02;20.03.2023;-0.032715428;0.002410078;-0.030305349;0.003413645;-6;#NV
AT0000KTMI02;21.03.2023;0.001298329;0.007636;0.008934329;0.011597732;-5;#NV
AT0000KTMI02;22.03.2023;0.009594072;0.000519794;0.010113866;0.000453353;-4;#NV
AT0000KTMI02;23.03.2023;0.010980268;-0.002213775;0.008766493;-0.00382757;-3;#NV
AT0000KTMI02;24.03.2023;-0.015692299;-0.005732591;-0.02142489;-0.009338234;-2;#NV
AT0000KTMI02;27.03.2023;0.002619535;0.007519969;0.010139504;0.011416021;-1;#NV
AT0000KTMI02;28.03.2023;-0.000150432;0.002669325;0.002518893;0.00381964;0;Neutral
AT0000KTMI02;29.03.2023;-0.01384192;0.007532751;-0.006309169;0.011436039;1;#NV
AT0000KTMI02;30.03.2023;-0.014231425;0.00405322;-0.010178205;0.005986898;2;#NV
AT0000KTMI02;31.03.2023;0.000265948;0.004836104;0.005102052;0.007212939;3;#NV
AT0000KTMI02;03.04.2023;-0.006765005;-0.000897868;-0.007662873;-0.001766785;4;#NV
AT0000KTMI02;04.04.2023;0.008845593;-0.00118272;0.007662873;-0.00221288;5;#NV
AT0000KTMI02;05.04.2023;-0.019333221;0.001360978;-0.017972242;0.001770695;6;#NV
AT0000KTMI02;06.04.2023;-0.002095312;0.005973791;0.003878479;0.00899462;7;#NV
AT0000KTMI02;07.04.2023;-0.000230307;0.000230307;0;0;8;#NV
AT0000KTMI02;10.04.2023;-0.000230307;0.000230307;0;0;9;#NV
AT0000KTMI02;11.04.2023;0.012820034;0.002545186;0.015365219;0.003625231;10;#NV
AT0000KTMI02;15.01.2024;0.008152921;-0.004054555;0.004098366;-0.002490661;-10;#NV
AT0000KTMI02;16.01.2024;-0.005654135;-0.000499731;-0.006153866;0.002299292;-9;#NV
AT0000KTMI02;17.01.2024;-0.004894651;-0.007527869;-0.01242252;-0.007170784;-8;#NV
AT0000KTMI02;18.01.2024;-0.007397669;7.93E-05;-0.007318381;0.003079492;-7;#NV
AT0000KTMI02;19.01.2024;-0.020823845;-0.00468232;-0.025506165;-0.003336545;-6;#NV
AT0000KTMI02;22.01.2024;-0.004924331;0.006000178;0.001075847;0.011057605;-5;#NV
AT0000KTMI02;23.01.2024;0.007592108;-0.009744961;-0.002152853;-0.010158209;-4;#NV
AT0000KTMI02;24.01.2024;0.00257983;0.000647714;0.003227544;0.003845419;-3;#NV
AT0000KTMI02;25.01.2024;0.013192953;-0.001446956;0.011745997;0.001022953;-2;#NV
AT0000KTMI02;26.01.2024;-0.012839364;0.009649569;-0.003189795;0.015974983;-1;#NV
AT0000KTMI02;29.01.2024;0.000201916;-0.000201916;0;0.002700583;0;Negativ
AT0000KTMI02;30.01.2024;-0.011539644;-0.001322269;-0.012861914;0.001190961;1;#NV
AT0000KTMI02;31.01.2024;-0.00684918;-0.008368505;-0.015217685;-0.008303501;2;#NV
AT0000KTMI02;01.02.2024;0.004076592;-0.008467378;-0.004390786;-0.008436727;3;#NV
AT0000KTMI02;02.02.2024;0.001983082;-0.000883577;0.001099505;0.001782078;4;#NV
AT0000KTMI02;05.02.2024;0.035236782;0.000384901;0.035621683;0.003491291;5;#NV
AT0000KTMI02;06.02.2024;0.042340212;-0.003853923;0.038486289;-0.00222032;6;#NV
AT0000KTMI02;07.02.2024;0.016453381;-0.004282845;0.012170536;-0.002798272;7;#NV
AT0000KTMI02;08.02.2024;-0.024290091;-0.005379605;-0.029669695;-0.004276102;8;#NV
