EventFirm_ISIN,EventFirm_Name,EventDate,PeerFirm_ISIN,PeerFirm_Name,Peer_EventDate,Year,RBICS_PrimaryCode_shared,EventFirm_CAR_shortterm_ownEvent,Peer_CAR_shortterm_ownEvent,Peer_CAR_shortterm_relative_to_EventFirmEvent,SameInputRisk_Proxy,Notes
AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,CH0012138605,ADECCO GROUP ,2020-02-26,2019,8580,"-0,00678119212047053","-0,0122517756585004",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,CH0126673539,DKSH HOLDING AG ,2020-02-10,2019,8580,"-0,00678119212047053","0,184271512717229",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,2019,8580,"-0,00678119212047053","-0,103636197678859",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,CH0404880129,ASMALLWORLD AG ,2020-03-19,2019,8580,"-0,00678119212047053","0,0506719954260535",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,CH1256740924,SGS SA ,2020-01-28,2019,8580,"-0,00678119212047053","0,0297896647183592",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2020-02-26,AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,2019,8580,"-0,0122517756585004","-0,00678119212047053",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2020-02-26,CH0126673539,DKSH HOLDING AG ,2020-02-10,2019,8580,"-0,0122517756585004","0,184271512717229",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2020-02-26,CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,2019,8580,"-0,0122517756585004","-0,103636197678859",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2020-02-26,CH0404880129,ASMALLWORLD AG ,2020-03-19,2019,8580,"-0,0122517756585004","0,0506719954260535",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2020-02-26,CH1256740924,SGS SA ,2020-01-28,2019,8580,"-0,0122517756585004","0,0297896647183592",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2020-02-10,AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,2019,8580,"0,184271512717229","-0,00678119212047053",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2020-02-10,CH0012138605,ADECCO GROUP ,2020-02-26,2019,8580,"0,184271512717229","-0,0122517756585004",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2020-02-10,CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,2019,8580,"0,184271512717229","-0,103636197678859",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2020-02-10,CH0404880129,ASMALLWORLD AG ,2020-03-19,2019,8580,"0,184271512717229","0,0506719954260535",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2020-02-10,CH1256740924,SGS SA ,2020-01-28,2019,8580,"0,184271512717229","0,0297896647183592",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,2019,8580,"-0,103636197678859","-0,00678119212047053",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,CH0012138605,ADECCO GROUP ,2020-02-26,2019,8580,"-0,103636197678859","-0,0122517756585004",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,CH0126673539,DKSH HOLDING AG ,2020-02-10,2019,8580,"-0,103636197678859","0,184271512717229",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,CH0404880129,ASMALLWORLD AG ,2020-03-19,2019,8580,"-0,103636197678859","0,0506719954260535",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,CH1256740924,SGS SA ,2020-01-28,2019,8580,"-0,103636197678859","0,0297896647183592",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2020-03-19,AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,2019,8580,"0,0506719954260535","-0,00678119212047053",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2020-03-19,CH0012138605,ADECCO GROUP ,2020-02-26,2019,8580,"0,0506719954260535","-0,0122517756585004",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2020-03-19,CH0126673539,DKSH HOLDING AG ,2020-02-10,2019,8580,"0,0506719954260535","0,184271512717229",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2020-03-19,CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,2019,8580,"0,0506719954260535","-0,103636197678859",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2020-03-19,CH1256740924,SGS SA ,2020-01-28,2019,8580,"0,0506719954260535","0,0297896647183592",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2020-01-28,AT0000KTMI02,PIERER MOBILITY AG ,2020-02-20,2019,8580,"0,0297896647183592","-0,00678119212047053",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2020-01-28,CH0012138605,ADECCO GROUP ,2020-02-26,2019,8580,"0,0297896647183592","-0,0122517756585004",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2020-01-28,CH0126673539,DKSH HOLDING AG ,2020-02-10,2019,8580,"0,0297896647183592","0,184271512717229",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2020-01-28,CH0319416936,FLUGHAFEN ZURICH AG ,2020-03-10,2019,8580,"0,0297896647183592","-0,103636197678859",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2020-01-28,CH0404880129,ASMALLWORLD AG ,2020-03-19,2019,8580,"0,0297896647183592","0,0506719954260535",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2021-02-01,CH0012138605,ADECCO GROUP ,2021-02-25,2020,8580,"0,0258836072672531","-0,00580413051467157",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2021-02-01,CH0126673539,DKSH HOLDING AG ,2021-02-09,2020,8580,"0,0258836072672531","-0,043788002838597",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2021-02-01,CH0319416936,FLUGHAFEN ZURICH AG ,2021-03-12,2020,8580,"0,0258836072672531","-0,0182472726390234",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
