RBICS_PrimaryCode,InputBucketID,InputBucketLabel,Top10_N,Top10_CAR_shortterm_avg,Top10_pct_CARpos_shortterm
1610,1610,RBICS_1610,,,
1910,1910,RBICS_1910,,,
2510,2510,RBICS_2510,,,
2530,2530,RBICS_2530,,,
2580,2580,RBICS_2580,,,
2810,2810,RBICS_2810,,,
2840,2840,RBICS_2840,,,
2891,2891,RBICS_2891,,,
2893,2893,RBICS_2893,,,
3110,3110,RBICS_3110,25.0,0.0004,56.0
3410,3410,RBICS_3410,,,
3430,3430,RBICS_3430,34.0,-0.0189,47.0588
3440,3440,RBICS_3440,40.0,0.0412,75.0
3720,3720,RBICS_3720,,,
3730,3730,RBICS_3730,,,
3750,3750,RBICS_3750,,,
4010,4010,RBICS_4010,,,
4030,4030,RBICS_4030,,,
4050,4050,RBICS_4050,,,
4060,4060,RBICS_4060,,,
4090,4090,RBICS_4090,,,
4310,4310,RBICS_4310,40.0,-0.0001,52.5
4320,4320,RBICS_4320,,,
4350,4350,RBICS_4350,,,
4370,4370,RBICS_4370,25.0,-0.0131,36.0
4380,4380,RBICS_4380,23.0,-0.0036,65.2174
4392,4392,RBICS_4392,25.0,-0.0036,48.0
4394,4394,RBICS_4394,,,
4395,4395,RBICS_4395,,,
4610,4610,RBICS_4610,,,
4640,4640,RBICS_4640,,,
4660,4660,RBICS_4660,,,
4670,4670,RBICS_4670,,,
4910,4910,RBICS_4910,,,
4960,4960,RBICS_4960,,,
4970,4970,RBICS_4970,41.0,0.0092,56.0976
4980,4980,RBICS_4980,,,
4992,4992,RBICS_4992,,,
5510,5510,RBICS_5510,,,
5560,5560,RBICS_5560,,,
5570,5570,RBICS_5570,,,
6120,6120,RBICS_6120,,,
6430,6430,RBICS_6430,,,
6450,6450,RBICS_6450,,,
6760,6760,RBICS_6760,,,
7040,7040,RBICS_7040,,,
7091,7091,RBICS_7091,,,
7330,7330,RBICS_7330,,,
7970,7970,RBICS_7970,,,
8210,8210,RBICS_8210,,,
8220,8220,RBICS_8220,,,
8510,8510,RBICS_8510,,,
8520,8520,RBICS_8520,,,
8530,8530,RBICS_8530,,,
8550,8550,RBICS_8550,,,
8570,8570,RBICS_8570,,,
8580,8580,RBICS_8580,29.0,0.0051,51.7241
8591,8591,RBICS_8591,,,
8592,8592,RBICS_8592,37.0,0.0122,56.7568
